"Parasite.species","Host.no","Stage","hosts","hs","var.hs","stage2","maxLCL"
"Contracaecum micropapillatum",3,"adult",3,3,2,"adult",3
"Contracaecum multipapillatum",1,"1larv",1,1,NA,"larva",4
"Contracaecum multipapillatum",2,"2larv",5,3.3,1.21,"larva",4
"Contracaecum multipapillatum",3,"3larv",1,1,NA,"larva",4
"Contracaecum multipapillatum",4,"adult",12,3.25757575757576,1.13062442607897,"adult",4
"Contracaecum osculatum [A-C]",1,"1larv",8,4,0.5,"larva",4
"Contracaecum osculatum [A-C]",2,"2larv",25,3.77898550724638,0.411297521529091,"larva",4
"Contracaecum osculatum [A-C]",3,"3larv",5,3.1,1.29,"larva",4
"Contracaecum osculatum [A-C]",4,"adult",8,2.53333333333333,0.248888888888889,"adult",4
"Contracaecum osculatum baicalensis",1,"1larv",1,1,NA,"larva",3
"Contracaecum osculatum baicalensis",2,"2larv",2,1,0,"larva",3
"Contracaecum osculatum baicalensis",3,"adult",1,1,NA,"adult",3
"Contracaecum rudolphii",1,"1larv",10,2.73333333333333,0.995555555555556,"larva",3
"Contracaecum rudolphii",2,"2larv",28,4.15810276679842,0.978956084300645,"larva",3
"Contracaecum rudolphii",3,"adult",6,1.66666666666667,0.888888888888889,"adult",3
"Cooperia curticei",1,"adult",2,2,0,"adult",1
"Cooperia fuelleborni",1,"adult",5,2,0,"adult",1
"Cooperia oncophora",1,"adult",1,1,NA,"adult",1
"Cooperia pectinata",1,"adult",3,2,0,"adult",1
"Cooperia punctata",1,"adult",3,2,0,"adult",1
"Corallobothrium fimbriatum",1,"1larv",3,1,0,"larva",3
"Corallobothrium fimbriatum",2,"2larv",1,1,NA,"larva",3
"Corallobothrium fimbriatum",3,"adult",4,1.83333333333333,0.138888888888889,"adult",3
"Corallobothrium parafimbriatum",1,"1larv",5,1.9,0.09,"larva",2
"Corallobothrium parafimbriatum",2,"adult",1,1,NA,"adult",2
"Corallotaenia minutia",1,"1larv",5,1.7,0.21,"larva",2
"Corallotaenia minutia",2,"adult",1,1,NA,"adult",2
"Coronacanthus integer",1,"1larv",3,1,0,"larva",2
"Coronacanthus integer",2,"adult",3,1.66666666666667,0.222222222222222,"adult",2
"Coronacanthus omissa",1,"1larv",2,1,0,"larva",2
"Coronacanthus omissa",2,"adult",3,1.66666666666667,0.222222222222222,"adult",2
"Coronacanthus vassilevi",1,"1larv",1,1,NA,"larva",2
"Coronacanthus vassilevi",2,"adult",1,1,NA,"adult",2
"Corynosoma bullosum",1,"1larv",2,1,NA,"larva",3
"Corynosoma bullosum",2,"2larv",9,2.72222222222222,0.811728395061728,"larva",3
"Corynosoma bullosum",3,"adult",1,1,NA,"adult",3
"Corynosoma hamanni",1,"1larv",1,1,NA,"larva",3
"Corynosoma hamanni",2,"2larv",3,1,0,"larva",3
"Corynosoma hamanni",3,"adult",2,2,0,"adult",3
"Corynosoma magdaleni",1,"1larv",1,1,NA,"larva",3
